"row_id","path","date","views","pathTail","story_id","headline","teaser","neutral","happy","sad","fear","anger","disgust","surprise","valence","primary_emotion"
"2170","/new-york/story/east-village-lower-east-side/little-italy/woman-stabbed-back-by-stranger-little-italy-sources-say/","20150805","1577","woman-stabbed-back-by-stranger-little-italy-sources-say","638730","Woman Stabbed in the Back by Stranger in Little Italy, Sources Say","<p>Dieu Ho was on her way to work when an emotionally disturbed man stabbed her, sources said.</p>","0.00","0.00","0.15","0.15","0.08","0.08","0.07","-1","7"
"2171","/new-york/story/midtown-theater-district/midtown/taxi-driver-fined-25k-for-refusing-pick-up-black-executive-her-kids/","20150806","25265","taxi-driver-fined-25k-for-refusing-pick-up-black-executive-her-kids","639330","Taxi Driver Fined $25K for Refusing to Pick Up Black Executive and Her Kids","<p>Baqir Raza didn&#39;t pick up Cynthia Jordan and her family, but let white women in his cab, a judge said.</p>","0.00","0.03","0.14","0.11","0.03","0.10","0.00","-1","2"
"2173","/new-york/features/this-is-new-york/sandwich-renamed-stephen-colberts-honor/","20150806","6885","sandwich-renamed-stephen-colberts-honor","639263","Sandwich Renamed in Stephen Colbert's Honor","<p>As Americans&nbsp;bid&nbsp;one &quot;Late Show&quot; host goodbye and the other hello,&nbsp;so does the menu at Hello Deli.</p>","0.00","0.12","0.15","0.00","0.00","0.00","0.00","-1","2"
"2174","/new-york/story/greenwich-village-soho/meatpacking-district/contractors-charged-death-of-worker-buried-alive-at-construction-site/","20150806","5100","contractors-charged-death-of-worker-buried-alive-at-construction-site","639173","Contractors Charged in Death of Worker 'Buried Alive' at Construction Site","<p>The Manhattan District Attorney charged the workers and their companies with manslaughter.</p>","0.00","0.00","0.75","0.08","0.00","0.00","0.03","-1","7"
"2175","/new-york/features/on-inside/city-ignored-legionnaires-death-of-bronx-teacher-april-family-says/","20150806","4152","city-ignored-legionnaires-death-of-bronx-teacher-april-family-says","639261","City 'Ignored' Legionnaires' Death of Bronx Teacher in April, Family Says","<p>James Rouse taught at P.S. 325 near the epicenter of the city&#39;s Legionnaires&#39; disease outbreak.</p>","0.00","0.75","0.23","0.11","0.11","0.11","0.19","-1","1"
"2176","/new-york/story/jackson-heights-elmhurst/elmhurst/boroughs-only-medical-marijuana-facility-will-open-on-queens-boulevard/","20150806","2916","boroughs-only-medical-marijuana-facility-will-open-on-queens-boulevard","639310","Borough's Only Medical Marijuana Facility Will Open on Queens Boulevard","<p>Empire State Health Solutions is opening a facility in Elmhurst.&nbsp;</p>","0.00","0.00","0.25","0.05","0.04","0.05","0.00","-1","7"
"2177","/new-york/story/midtown-theater-district/midtown/see-chinatown-back-future-bryant-park-this-month/","20150806","2310","see-chinatown-back-future-bryant-park-this-month","639619","See 'Chinatown' and 'Back to the Future' in Bryant Park This Month","<p>The Back to the Future screening will have a photobooth with &quot;time travel props,&quot; organizers said.</p>","0.00","0.00","0.05","0.03","0.03","0.00","0.00","-1","7"
"2178","/new-york/features/openings-closings/new-park-slope-eatery-promises-not-serve-fake-italian-food/","20150806","2053","new-park-slope-eatery-promises-not-serve-fake-italian-food","639249","New Park Slope Eatery Promises Not To Serve 'Fake Italian Food'","<p>Pastificio Flora&#39;s co-owners plan to serve authentic food inspired by life in smalltown southern Italy.</p>","0.00","0.53","0.53","0.26","0.26","0.26","0.00","1","7"
"2179","/new-york/story/chelsea-hells-kitchen/chelsea/busta-rhymes-arrested-for-throwing-protein-drink-at-gym-worker-police-say/","20150806","1822","busta-rhymes-arrested-for-throwing-protein-drink-at-gym-worker-police-say","639526","Busta Rhymes Arrested for Throwing Protein Drink at Gym Worker, Police Say","<p>Busta Rhymes had been feuding with a gym employee at Chelsea&#39;s Steel Gym, police said.</p>","0.00","0.00","0.00","0.00","0.06","0.00","0.00","-1","7"
"2180","/new-york/story/upper-east-side-roosevelt-island/yorkville/bar-with-20-types-of-burgers-launch-on-upper-east-side/","20150806","1765","bar-with-20-types-of-burgers-launch-on-upper-east-side","639221"," Bar With 20 Types of Burgers to Launch on Upper East Side","<p>Mel&#39;s Burger Bar is expecting to open at 1450 Second Ave. by September.</p>","0.17","0.00","0.00","0.00","0.00","0.00","0.00","0","0"
"2181","/new-york/story/midtown-theater-district/midtown/taxi-driver-fined-25k-for-refusing-pick-up-black-executive-her-kids/","20150807","8070","taxi-driver-fined-25k-for-refusing-pick-up-black-executive-her-kids","639330","Taxi Driver Fined $25K for Refusing to Pick Up Black Executive and Her Kids","<p>Baqir Raza didn&#39;t pick up Cynthia Jordan and her family, but let white women in his cab, a judge said.</p>","0.00","0.03","0.14","0.11","0.03","0.10","0.00","-1","2"
"2183","/new-york/features/get-out-do-this/14-things-do-manhattans-neighborhoods-this-weekend/","20150807","2674","14-things-do-manhattans-neighborhoods-this-weekend","639628","14 Things for You To Do in Manhattan's Neighborhoods This Weekend ","<p>Check out these events, from outdoor yoga to a concert by one of hip hop&#39;s masters.</p>","0.00","0.05","0.15","0.04","0.04","0.04","0.00","-1","2"
"2184","/new-york/story/bedford-stuyvesant/bed-stuy/brooklyn-soccer-academy-founder-coach-mourned-after-drowning/","20150807","2464","brooklyn-soccer-academy-founder-coach-mourned-after-drowning","639546","Brooklyn Soccer Academy Founder and Coach Mourned After Drowning","<p>Magnus Mukoro, founder of Young Rock Soccer, died July 29 while on vacation with his family.</p>","0.00","0.00","0.00","0.00","0.00","0.15","0.00","-1","7"
