"row_id","path","date","views","pathTail","story_id","headline","teaser","neutral","happy","sad","fear","anger","disgust","surprise","valence","primary_emotion"
"22","/new-york/features/this-is-new-york/how-celebrate-mothers-day-nyc","2015-04-13","1773","how-celebrate-mothers-day-nyc","613205","How to Celebrate Mother's Day in NYC","<p>DNAinfo New York rounded up a host of ideas for you to do for Mother&#39;s Day.&nbsp;</p>","0.00","0.00","0.04","0.04","0.11","0.11","0.00","-1","7"
"23","/new-york/features/this-is-new-york/most-delectable-local-farm-to-table-instagram-feeds","2015-04-13","1924","most-delectable-local-farm-to-table-instagram-feeds","612508","The Most Delectable Local Farm-to-Table Instagram Feeds","<p>Featuring wild mushrooms, ramps, and a whole lot of beautiful lighting.</p>","0.00","0.75","0.06","0.08","0.20","0.14","0.00","1","1"
"24","/new-york/features/this-is-new-york/new-video-calls-on-new-yorkers-poop-on-new-fulton-center","2015-04-13","1198","new-video-calls-on-new-yorkers-poop-on-new-fulton-center","613161","Video Calls On New Yorkers to 'Poop' On Fulton Center","<p>The video, by comedy group Weird Giants, is meant to lash out at the MTA&#39;s fare hikes.</p>","0.00","0.20","0.10","0.10","0.00","0.19","0.09","-1","1"
"25","/new-york/features/this-is-new-york/new-york-city-real-estate-film-8-examples","2015-04-13","420","new-york-city-real-estate-film-8-examples","612889","New York City Real Estate in Film: 8 Examples","<p>&quot;5 Flights Up&quot; is just&nbsp;the latest of&nbsp;decades of films about New York City real estate.&nbsp;</p>","0.00","0.23","0.00","0.00","0.00","0.05","0.00","1","1"
"26","/new-york/features/this-is-new-york/u2-surprises-straphangers-with-impromptu-subway-performance","2015-04-13","112","u2-surprises-straphangers-with-impromptu-subway-performance","612516","U2 Surprises Straphangers with Impromptu Subway Performance","<p>Bono and talk show host Jimmy Fallon surprised commuters at Grand Central Station.</p>","0.00","0.24","0.24","0.12","0.12","0.12","0.75","1","7"
"27","/new-york/features/this-is-new-york/woman-takes-cat-on-romantic-dinner-date-at-upper-west-side-restaurant","2015-04-13","4294","woman-takes-cat-on-romantic-dinner-date-at-upper-west-side-restaurant","612683","Woman Takes Cat on 'Romantic Dinner Date' at Upper West Side Restaurant","<p>A woman was spotted sitting across from a cat at RedFarm.</p>","0.00","0.00","0.08","0.08","0.00","0.08","0.00","-1","7"
"28","/new-york/story/astoria-long-island-city/astoria/de-blasio-calls-for-new-mansion-tax-reform-developers-tax-breaks","2015-04-13","1264","de-blasio-calls-for-new-mansion-tax-reform-developers-tax-breaks","613166","De Blasio Calls for New 'Mansion Tax' and Reform to Developers' Tax Breaks","<p>Mayor de Blasio hopes to spur affordable housing through a mansion tax and reform of 421a tax benefits.</p>","0.00","0.00","0.00","0.00","0.00","0.05","0.00","-1","7"
"29","/new-york/story/astoria-long-island-city/astoria/new-dog-run-park-school-upgrades-coming-astoria","2015-04-13","254","new-dog-run-park-school-upgrades-coming-astoria","612898","New Dog Run, Park and School Upgrades Coming to Astoria ","<p>The projects were the participatory budgeting winners in City Councilman Costa Constantinides&#39; district.</p>","0.00","0.23","0.00","0.01","0.00","0.05","0.00","1","1"
"30","/new-york/story/astoria-long-island-city/long-island-city/new-brewery-debut-long-island-city-during-queens-beer-week","2015-04-13","176","new-brewery-debut-long-island-city-during-queens-beer-week","611710","New Brewery to Debut in Long Island City During Queens Beer Week","<p>LIC Beer Project is the latest beermaker to open in Long Island City, which already boasts three others.</p>","0.00","0.23","0.05","0.05","0.00","0.05","0.00","1","1"
"31","/new-york/story/astoria-long-island-city/long-island-city/vernon-boulevards-bike-lanes-get-500000-upgrades","2015-04-13","304","vernon-boulevards-bike-lanes-get-500000-upgrades","613193","Vernon Boulevard's Bike Lanes to Get $500,000 in Upgrades","<p>A plan to improve the road&#39;s biking network won the most participatory budgeting votes.</p>","0.00","0.02","0.02","0.01","0.01","0.01","0.02","1","7"
"32","/new-york/story/bedford-stuyvesant/bed-stuy/affordable-tech-camp-teaches-bed-stuy-kids-about-social-issues","2015-04-13","211","affordable-tech-camp-teaches-bed-stuy-kids-about-social-issues","412437","Affordable Tech Camp Teaches Bed-Stuy Kids About Social Issues","<p>At the DIVAS for Social Justice STEAM Camp, kids make robots and think about their neighborhood.</p>
","0.00","0.00","0.01","0.09","0.01","0.03","0.01","-1","7"
